entry_time,entry_price,exit_time,exit_price,exit_reason,size,confidence,strength,bars_held,pnl,return_pct
2026-01-08 01:05:00,621.0,2026-01-08 02:11:00,621.24,TIME_DECAY,252,0.8922340344000553,20.33816425120773,10,60.48000000000229,0.038647342995170544
2026-01-08 02:11:00,621.24,2026-01-08 03:15:00,622.72,TIME_DECAY,241,0.8741834707317232,18.023952095808298,10,356.6800000000044,0.23823321099736305
2026-01-08 09:37:00,621.27,2026-01-08 10:27:00,620.62,TIME_DECAY,244,0.8787279173045219,17.734801294123507,10,-158.59999999999445,-0.10462439840970549
2026-01-08 10:27:00,620.62,2026-01-08 11:17:00,619.3799,TIME_DECAY,221,0.8422016998711644,24.005994005993962,10,-274.06209999999646,-0.19981631271953595
2026-01-08 11:17:00,619.3799,2026-01-08 12:07:00,619.56,TIME_DECAY,237,0.8683974146842957,30.0,10,42.683699999982196,0.029077469255932405
2026-01-08 12:07:00,619.56,2026-01-08 12:57:00,620.74,TIME_DECAY,244,0.8789113163948059,30.0,10,287.92000000001553,0.1904577442055755
2026-01-08 12:57:00,620.74,2026-01-08 13:47:00,620.24,TIME_DECAY,235,0.8649494150993728,22.84724683442334,10,-117.5,-0.08054902213487129
2026-01-08 13:47:00,620.24,2026-01-08 14:37:00,619.0599,TIME_DECAY,225,0.8492303149157093,27.67831807042426,10,-265.5225000000087,-0.1902650586869661
2026-01-08 14:37:00,619.0599,2026-01-08 15:27:00,620.25,TIME_DECAY,244,0.8790857791900635,30.0,10,290.3844000000072,0.19224310926939858
2026-01-08 15:27:00,620.25,2026-01-08 16:17:00,620.53,TIME_DECAY,236,0.866609218287785,27.58162031438936,10,66.07999999999356,0.04514308746472756
2026-01-08 16:17:00,620.53,2026-01-08 17:10:00,621.0001,TIME_DECAY,231,0.8577797463115866,24.875348492418034,10,108.5931000000005,0.07575781992812632
2026-01-08 17:10:00,621.0001,2026-01-08 18:09:00,621.36,TIME_DECAY,209,0.824476945072659,20.337199623639595,10,75.2191000000081,0.05795490210066613
2026-01-08 18:09:00,621.36,2026-01-08 19:04:00,620.33,TIME_DECAY,201,0.812198350809862,16.86751641560435,10,-207.02999999999452,-0.16576541779322335
2026-01-08 19:04:00,620.33,2026-01-08 19:59:00,620.1,TIME_DECAY,240,0.8727327017201058,26.80815050053964,10,-55.200000000004366,-0.03707703964019444
2026-01-08 19:59:00,620.1,2026-01-09 01:56:00,620.87,TIME_DECAY,234,0.8620985454254598,29.03241412675353,10,180.17999999999574,0.12417352039993255
